date,entity,Arquivo_origem,TPV,Transactions,Average_Ticket,TPV_MA7
2025-01-01,PF,Operations_analyst_data_2025-Q1.csv,19542545.47,128784,151.74668802025096,19542545.47
2025-01-01,PJ,Operations_analyst_data_2025-Q1.csv,32448209.56,633255,51.24035271730977,32448209.56
2025-01-02,PF,Operations_analyst_data_2025-Q1.csv,49614595.36,162482,305.3544107039549,34578570.415
2025-01-02,PJ,Operations_analyst_data_2025-Q1.csv,106799754.19,1010708,105.66825847821526,69623981.875
2025-01-03,PF,Operations_analyst_data_2025-Q1.csv,49214038.36,191736,256.67604602161305,39457059.73
2025-01-03,PJ,Operations_analyst_data_2025-Q1.csv,118818910.88,1185321,100.24196895187042,86022291.54333334
2025-01-04,PF,Operations_analyst_data_2025-Q1.csv,40010606.06,201904,198.16648535937873,39595446.3125
2025-01-04,PJ,Operations_analyst_data_2025-Q1.csv,98059232.52,1259154,77.87707660858004,89031526.7875
2025-01-05,PF,Operations_analyst_data_2025-Q1.csv,35728533.87,160721,222.3015901469005,38822063.824
2025-01-05,PJ,Operations_analyst_data_2025-Q1.csv,55563029.38,846557,65.6341266801881,82337827.306
2025-01-06,PF,Operations_analyst_data_2025-Q1.csv,72334483.68,207560,348.49915051069576,44407467.13333333
2025-01-06,PJ,Operations_analyst_data_2025-Q1.csv,156925398.56,1140562,137.58603088652788,94769089.18166667
2025-01-07,PF,Operations_analyst_data_2025-Q1.csv,86684131.97,242995,356.7321630897755,50446990.68142857
2025-01-07,PJ,Operations_analyst_data_2025-Q1.csv,165995019.49,1241238,133.73343346723192,104944222.08285715
2025-01-08,PF,Operations_analyst_data_2025-Q1.csv,90261035.44,253843,355.5781937654377,60549632.105714284
2025-01-08,PJ,Operations_analyst_data_2025-Q1.csv,168710770.62,1289251,130.85952279269125,124410302.23428573
2025-01-09,PF,Operations_analyst_data_2025-Q1.csv,92537481.94,255576,362.07422426205903,66681473.0457143
2025-01-09,PJ,Operations_analyst_data_2025-Q1.csv,178692852.38,1291917,138.31604691323048,134680744.83285716
2025-01-10,PF,Operations_analyst_data_2025-Q1.csv,80696850.91,279848,288.35957702038246,71179017.69571428
2025-01-10,PJ,Operations_analyst_data_2025-Q1.csv,170257343.49,1441552,118.1069732413399,142029092.34857145
2025-01-11,PF,Operations_analyst_data_2025-Q1.csv,52876604.269999996,265337,199.28093055246723,73017017.44
2025-01-11,PJ,Operations_analyst_data_2025-Q1.csv,127268343.29,1499888,84.85189780170253,146201822.45857143
2025-01-12,PF,Operations_analyst_data_2025-Q1.csv,39632722.38,185689,213.43602679749475,73574758.65571429
2025-01-12,PJ,Operations_analyst_data_2025-Q1.csv,58542581.79,897629,65.21912927278419,146627472.80285713
2025-01-13,PF,Operations_analyst_data_2025-Q1.csv,72709525.84,210500,345.4134244180523,73628336.10714285
2025-01-13,PJ,Operations_analyst_data_2025-Q1.csv,164465431.51,1135055,144.89644247195068,147704620.36714286
2025-01-14,PF,Operations_analyst_data_2025-Q1.csv,70177582.8,219196,320.1590485227832,71270257.65428571
2025-01-14,PJ,Operations_analyst_data_2025-Q1.csv,168755654.68,1171370,144.06690856006216,148098996.82285714
2025-01-15,PF,Operations_analyst_data_2025-Q1.csv,72311914.95,234934,307.7967214196328,68706097.5842857
2025-01-15,PJ,Operations_analyst_data_2025-Q1.csv,165510264.11,1232702,134.2662412407865,147641781.60714287
2025-01-16,PF,Operations_analyst_data_2025-Q1.csv,68740199.86,233112,294.8805718281341,65306485.858571425
2025-01-16,PJ,Operations_analyst_data_2025-Q1.csv,169810431.35,1249990,135.849431875455,146372864.31714287
2025-01-17,PF,Operations_analyst_data_2025-Q1.csv,57803219.800000004,246353,234.63574545469308,62035967.128571436
2025-01-17,PJ,Operations_analyst_data_2025-Q1.csv,164332983.9,1437520,114.3170069981635,145526527.23285714
2025-01-18,PF,Operations_analyst_data_2025-Q1.csv,43777009.92,253797,172.48828756841098,60736025.07857143
2025-01-18,PJ,Operations_analyst_data_2025-Q1.csv,126514118.55,1567332,80.71941270260544,145418780.84142858
2025-01-19,PF,Operations_analyst_data_2025-Q1.csv,35419994.59,190312,186.11540307495062,60134206.82285715
2025-01-19,PJ,Operations_analyst_data_2025-Q1.csv,60612925.74,981363,61.76402181455792,145714544.26285714
2025-01-20,PF,Operations_analyst_data_2025-Q1.csv,72732720.03,224875,323.4362202556976,60137520.278571434
2025-01-20,PJ,Operations_analyst_data_2025-Q1.csv,162347696.77,1199298,135.36893813714357,145412010.72857141
2025-01-21,PF,Operations_analyst_data_2025-Q1.csv,63720573.65,225232,282.91083704802156,59215090.4
2025-01-21,PJ,Operations_analyst_data_2025-Q1.csv,165373321.23,1294828,127.71836972169275,144928820.2357143
2025-01-22,PF,Operations_analyst_data_2025-Q1.csv,56758481.42,215403,263.49902935428014,56993171.32428572
2025-01-22,PJ,Operations_analyst_data_2025-Q1.csv,159313361.84,1291010,123.40211295032572,144043548.48285714
2025-01-23,PF,Operations_analyst_data_2025-Q1.csv,55782953.55,218456,255.35097937342073,55142136.13714285
2025-01-23,PJ,Operations_analyst_data_2025-Q1.csv,161090547.93,1318784,122.15082070301126,142797850.85142857
2025-01-24,PF,Operations_analyst_data_2025-Q1.csv,49587295.89,236101,210.02577663796427,53968432.72142857
2025-01-24,PJ,Operations_analyst_data_2025-Q1.csv,158501534.31,1464515,108.22800333898935,141964786.62428573
2025-01-25,PF,Operations_analyst_data_2025-Q1.csv,39381810.88,248757,158.31438263043856,53340547.14428572
2025-01-25,PJ,Operations_analyst_data_2025-Q1.csv,122385025.75,1568397,78.03191777974581,141374916.22428572
2025-01-26,PF,Operations_analyst_data_2025-Q1.csv,27908187.91,173370,160.97472405837226,52267431.904285714
2025-01-26,PJ,Operations_analyst_data_2025-Q1.csv,54188974.73,938313,57.75149095237943,140457208.93714288
2025-01-27,PF,Operations_analyst_data_2025-Q1.csv,51319716.33,185646,276.4385784234511,49208431.37571429
2025-01-27,PJ,Operations_analyst_data_2025-Q1.csv,146046252.95,1126406,129.65684926216656,138128431.24857143
2025-01-28,PF,Operations_analyst_data_2025-Q1.csv,48422895.28,196443,246.49845135739122,47023048.75142857
2025-01-28,PJ,Operations_analyst_data_2025-Q1.csv,145875625.8,1200214,121.54134662651828,135343046.18714288
2025-01-29,PF,Operations_analyst_data_2025-Q1.csv,47640945.92,198781,239.66549076622013,45720543.68
2025-01-29,PJ,Operations_analyst_data_2025-Q1.csv,146879955.26,1199321,122.46925990623026,133566845.24714287
2025-01-30,PF,Operations_analyst_data_2025-Q1.csv,54416733.8,215657,252.33001386460907,45525369.43
2025-01-30,PJ,Operations_analyst_data_2025-Q1.csv,158811448.47,1262505,125.79074813169056,133241259.61
2025-01-31,PF,Operations_analyst_data_2025-Q1.csv,59318761.62,260220,227.9561971408808,46915578.82
2025-01-31,PJ,Operations_analyst_data_2025-Q1.csv,169426806.07,1500005,112.95082754390818,134802012.71857142
2025-02-01,PF,Operations_analyst_data_2025-Q1.csv,45192667.2,258813,174.61513602485192,47745701.15142857
2025-02-01,PJ,Operations_analyst_data_2025-Q1.csv,129240065.19,1572823,82.17076250156565,135781304.06714287
2025-02-02,PF,Operations_analyst_data_2025-Q1.csv,33137321.72,182290,181.78354117066212,48492720.267142855
2025-02-02,PJ,Operations_analyst_data_2025-Q1.csv,55237274.39,926127,59.64330420125965,135931061.16142857
2025-02-03,PF,Operations_analyst_data_2025-Q1.csv,66425282.45,210078,316.19342553718144,50650658.28428572
2025-02-03,PJ,Operations_analyst_data_2025-Q1.csv,161706014.3,1228956,131.57998683435372,138168169.92571428
2025-02-04,PF,Operations_analyst_data_2025-Q1.csv,69267448.17,227028,305.1053093451028,53628451.55428571
2025-02-04,PJ,Operations_analyst_data_2025-Q1.csv,168691193.92,1302103,129.552880163858,141427536.79999998
2025-02-05,PF,Operations_analyst_data_2025-Q1.csv,76461352.03,245524,311.4210913393395,57745652.42714286
2025-02-05,PJ,Operations_analyst_data_2025-Q1.csv,174116742.97,1371776,126.9279699965592,145318506.47285715
2025-02-06,PF,Operations_analyst_data_2025-Q1.csv,96592195.79,282198,342.2851890870949,63770718.42571429
2025-02-06,PJ,Operations_analyst_data_2025-Q1.csv,189811724.7,1497155,126.78161225791584,149747117.36285713
2025-02-07,PF,Operations_analyst_data_2025-Q1.csv,90688125.51,323192,280.60139332037926,68252056.12428571
2025-02-07,PJ,Operations_analyst_data_2025-Q1.csv,193923900.04,1739797,111.4635213418577,153246702.21571428
2025-02-08,PF,Operations_analyst_data_2025-Q1.csv,68056037.25,327158,208.02192595015254,71518251.84571429
2025-02-08,PJ,Operations_analyst_data_2025-Q1.csv,158153923.98,1877164,84.25152196611484,157377253.47142857
2025-02-09,PF,Operations_analyst_data_2025-Q1.csv,60714730.74,241304,251.61095854192223,75457881.70571429
2025-02-09,PJ,Operations_analyst_data_2025-Q1.csv,74995673.63,1112604,67.40554018320984,160199881.9342857
2025-02-10,PF,Operations_analyst_data_2025-Q1.csv,111041258.59,275954,402.39046576603346,81831592.58285715
2025-02-10,PJ,Operations_analyst_data_2025-Q1.csv,192885989.08,1334549,144.5327141079121,164654164.0457143
2025-02-11,PF,Operations_analyst_data_2025-Q1.csv,92763573.47,272077,340.94603171161106,85188181.91142859
2025-02-11,PJ,Operations_analyst_data_2025-Q1.csv,189219979.83,1386333,136.48955902369778,167586847.74714285
2025-02-12,PF,Operations_analyst_data_2025-Q1.csv,81817369.0,263887,310.0469860205315,85953327.19285715
2025-02-12,PJ,Operations_analyst_data_2025-Q1.csv,181166959.1,1395571,129.81565187296096,168594021.48
2025-02-13,PF,Operations_analyst_data_2025-Q1.csv,78302585.98,263904,296.70859850551716,83340525.79142857
2025-02-13,PJ,Operations_analyst_data_2025-Q1.csv,180026623.11,1373600,131.06189801252185,167196149.82428572
2025-02-14,PF,Operations_analyst_data_2025-Q1.csv,69527544.55,289725,239.97771869876607,80317585.65428571
2025-02-14,PJ,Operations_analyst_data_2025-Q1.csv,183057046.37,1620260,112.98004417192303,165643742.15714285
2025-02-15,PF,Operations_analyst_data_2025-Q1.csv,55711139.77,310269,179.55754448559154,78554028.87142858
2025-02-15,PJ,Operations_analyst_data_2025-Q1.csv,146014579.35999998,1773168,82.34672595038936,163909550.06857142
2025-02-16,PF,Operations_analyst_data_2025-Q1.csv,42761667.67,221539,193.02094741783614,75989305.57571429
2025-02-16,PJ,Operations_analyst_data_2025-Q1.csv,68020129.27,1099786,61.848513501717605,162913043.7314286
2025-02-17,PF,Operations_analyst_data_2025-Q1.csv,75280438.05,231805,324.7576111386726,70880616.92714286
2025-02-17,PJ,Operations_analyst_data_2025-Q1.csv,172843065.61,1281067,134.92117555912378,160049768.95000002
2025-02-18,PF,Operations_analyst_data_2025-Q1.csv,67557083.06,236207,286.0079636081911,67279689.7257143
2025-02-18,PJ,Operations_analyst_data_2025-Q1.csv,171034498.94,1328289,128.76301688864396,157451843.10857144
2025-02-19,PF,Operations_analyst_data_2025-Q1.csv,74362297.91,245213,303.2559363084339,66214679.57
2025-02-19,PJ,Operations_analyst_data_2025-Q1.csv,180520956.34,1381565,130.66410653136117,157359557.0
2025-02-20,PF,Operations_analyst_data_2025-Q1.csv,87325195.48,279805,312.0930486588874,67503623.78428571
